Day 5 pos,Day 5 neg,,Day 10 pos,Day 10 neg,,Day 15 pos,Day 15 neg,,Day 20 pos,Day 20 neg
SLC18A3,ZNF232,,PPM1G,PRL,,HAUS5,CDH4,,OR14A16,CELF4
HIST1H4I,ALOX12,,MPEG1,SLC22A25,,CPA3,TRIM34,,CALML6,DEFA6
PGD,FEM1B,,NIPA2,STATH,,IL18RAP,PRAF2,,ANGPT1,ZNF33A
PRDM8,H3F3B,,TMX3,MTPAP,,SP1,COL9A3,,MLC1,LRP3
THRB,OPRD1,,ZWILCH,ZADH2,,AC011498.1,CHI3L2,,TAOK1,ASIC2
MIEN1,VSIG8,,THRB,CDKN2AIP,,SS18L1,METTL12,,SLC7A11,CDKL3
MBTPS1,MAPKAPK2,,NEK11,TBX18,,APOL6,TMPRSS13,,TMX3,MAU2
C12orf70,CCDC58,,RAB3IL1,AL359853.2,,KIAA0913,TRIM29,,C10orf95,CD1B
BOD1L1,SHCBP1L,,GMNC,SCGB1D1,,SH3TC1,SERTM1,,HS3ST5,SRM
ZFP90,CYYR1,,POLR1C,TGDS,,ABHD6,KRT222,,DCXR,SND1
IL17C,OSTN,,ABCC2,NPRÊ1.00,,ANO4,LIG1,,PROCR,RTCA
CSTF1,GOLIM4,,ABHD4,FABP12,,LMTK2,SERTAD4,,CADPS2,NHLH2
COL28A1,L3MBTL1,,GPR97,SQRDL,,RSC1A1,NHLH2,,ASF1B,APBA3
PHC2,SH3BGRL,,C22orf40,SMC1B,,WAS,ARPC2,,EIF3K,TM4SF1
TMEM204,COL21A1,,GNPAT,DDX53,,DHX9,GALNT6,,SHISA4,TLX2
MAN1C1,ALG10,,RANBP9,C14orf38,,TRPV1,KLHL35,,CDX1,STX7
FAM162B,TARBP2,,PGBD4,BATF2,,FBXO31,ZNF578,,PRKAR1A,SLC14A2
IQGAP1,TGFBRAP1,,CUL1,OC90,,TAOK1,IL10RB,,ACOXL,CEP55
EFNB3,PPAT,,RASL10B,FLT3LG,,PRSS54,MYC,,AHR,CCDC134
IKBIP,EFCAB11,,PRKAR1A,ZNF732,,PARD6G,GTPBP8,,CLRN2,USP9X
NUPR1,PALB2,,BNIP3,ITIH6,,OR5C1,NKX6-3,,TCTA,GATA1
PPP2R1A,GHSR,,FOXA3,HEATR6,,S100A13,DNAJB1,,ATP5G2,ATP11B
GTF3C4,TSKU,,ACOXL,CRIM1,,ZNF354A,TOP2B,,BNC1,PGAM2
PAQR4,ELANE,,EXOC4,KIAA1704,,KCNA7,PRAME,,IGF2R,LEPROTL1
NUP37,DHX29,,TFE3,SCN9A,,FAM117B,MCM2,,RBFA,XPNPEP2
ATP13A1,TMEM177,,C9orf84,CRYAA,,RASEF,GTF2E2,,AQP3,NFKBIE
APOL6,OR13C9,,NRBF2,LGR5,,HAND1,RPS8,,CD5L,MCM9
GNG2,RPF2,,IFI16,SLC12A5,,HSPA12B,PLCL2,,TMEM88,MSMO1
NOTCH2NL,STAG2,,FAT2,IMPG2,,GALNTL1,TMEM217,,ZDHHC12,ANKRD32
JAG1,EBF1,,OR1I1,KLF8,,PCP2,COX8A,,C2orf40,BTAF1
UTS2D,IL27RA,,OR2H2,LINGO4,,TFPI2,NRG2,,NISCH,MVP
NDUFB6,HEPACAM,,TPPP,C14orf119,,TRAM1,TTC36,,MTTP,FOXO4
CACNG3,C10orf118,,MT1A,PHOX2B,,RASL10B,IL1F10,,LOXL3,SHISA5
MS4A8B,MSANTD2,,ZSCAN1,STAC,,MIEN1,ENGASE,,INIP,AIFM3
SPACA7,PSMD2,,CEL,RBBP5,,CALML6,GBA2,,NSMCE4A,LTF
TAS2R8,DOCK10,,CADPS2,OR5AK2,,IFITM2,ASPG,,OCA2,KIAA1210
LMBRD1,TTC9B,,SNX1,BFSP2,,PCDH10,STS,,ALPK2,PSMB4
A2M,ATRN,,WASF3,PTGDS,,HSPB6,IQSEC1,,KIF4B,MAPK4
SLC35G2,PRR14L,,OR5T3,PGS1,,ANKRD29,STXBP5,,KIF15,RABL3
SEC23A,PI15,,CD109,PTCD2,,SLC18A2,ZIC5,,TOPBP1,C5orf49
SKIV2L2,C12orf49,,TEX33,TMCO5A,,ZDHHC12,CHRNA2,,RAB8A,ABCC11
MAPK15,JAK2,,HOXB4,AQP9,,CDH1,OR4K13,,FH,GPKOW
DNAJA2,C6orf201,,KCNG2,TMX4,,PSENEN,TRPM4,,ADPRHL1,ESF1
TXNDC15,RHOG,,HSD17B12,FOLR1,,CDC42EP4,UBL7,,RINL,TM4SF20
TBC1D8,C21orf7,,ASPSCR1,DCK,,ZNF385D,KIAA0141,,CYP11B2,C6orf108
HIGD1C,CMAS,,ANGPT4,BCKDHA,,NMBR,EPB41L3,,DNAJA2,GALNT7
AURKA,HS6ST2,,FBXO31,GNB1L,,ZNF23,PDE6H,,MURC,SOCS7
KIF4B,CPXCR1,,FPGT-TNNI3K,VAT1,,CTCF,CCDC90A,,USP6NL,KDELR3
RNF207,RRH,,DLGAP2,ATL2,,OR10J3,INCENP,,ZNF610,MORF4L2
TMEM239,PADI1,,TKT,ZARÊ1.00,,SLCO3A1,EPOR,,NAP1L5,CDK5
UPK1A,PDZRN4,,KDELC1,CCL14,,C1orf204,CPEB1,,STAM,ESAM
ABHD6,FADS1,,SKP1,TMEM169,,PSME2,SWT1,,HSPA5,PRKAR2A
SPTSSA,KRTDAP,,FAM161B,KLHL29,,PPP1R11,FREM2,,PDSS2,CDHR2
CHCHD1,TM7SF2,,RIPK1,TAF9B,,C4orf22,CHST12,,C11orf2,BCAP31
GNA15,SHROOM4,,TREML2,EPHX4,,SAMD4B,SYF2,,TMEM239,OR2A4
NBN,ALX3,,HINT2,FADS1,,DDX19A,IQCK,,TRIO,ASH1L
ARG2,PSMB9,,SLC34A3,CRB2,,SBK2,TCP10L2,,RUVBL1,C17orf81
C9orf84,ISG20,,C7orf66,KBTBD10,,TRIM8,OR10R2,,CD36,NCOA5
RAC3,CRIM1,,DNALI1,ESPNL,,CTNS,LILRA3,,TDRD1,SH3GL3
CYP27C1,MYLK2,,OR56A3,ZDBF2,,HAPLN1,CCL28,,TPP2,HOXD8
TAF2,TRIM26,,EFTUD2,TMEM144,,CCL15,DHPS,,KIR3DL3,NCAN
FAM13C,CLCNKB,,OSBP,MDM1,,SPINK14,CXCL5,,RP11-466G12.4,KNCN
C11orf21,EXPH5,,B4GALNT3,FUT7,,POU2AF1,KRT26,,TPPP,HCN2
TOMM6,E2F2,,XKR4,CDC42BPB,,TRAFD1,FAM212A,,OR4E2,ZNF407
PPP1R13B,TRMT1L,,CEP104,SPTLC3,,OLA1,TMEM107,,PHYH,CELSR1
KIR3DL3,FAM73A,,DUS1L,EBF1,,USP38,PICK1,,PLEKHH1,PXT1
MUC5B,TAF1B,,GINS1,TEFM,,IGF1R,PRSS38,,PHC2,PSME1
MYL4,FGF5,,KLRC2,ZNF517,,ALG3,SLC25A24,,FOXN4,MTMR4
LRRC4B,SNX4,,SPATA8,GAS2L2,,SRD5A1,CPA4,,ZNF714,PIP5K1C
TGFB1I1,MSI2,,PSMC2,SLC43A1,,PNN,UBL4A,,PGAP1,ZNF764
GEMIN5,CDC6,,USP53,C6orf118,,SPDYC,RGP1,,ADRA1D,GPCPD1
EXOSC1,ZBTB25,,MACF1,MSLN,,MARCKS,FRMPD1,,DHTKD1,AKAP7
ITGAV,MVP,,ZNF23,SP3,,CTDNEP1,C12orf44,,TAF1L,MYSM1
TYSND1,TLE6,,FOXN4,DHX37,,RDH12,ENTPD6,,NRBF2,PKP4
WDR96,TXNRD2,,HS3ST5,DNAJC16,,MOB1A,ZNF827,,ACMSD,UBR7
STIP1,MLL3,,VPS4A,HIAT1,,ANGPT1,PRR22,,UBR2,ATPBD4
ICAM5,RAB19,,RBFA,STRA8,,ENTPD3,PSMD8,,HORMAD2,ZMYM3
SLC7A10,GJA9,,L3MBTL4,PEAK1,,MRPS35,ABCA6,,FAM71C,IMP4
TH1L,TMC7,,TPRKB,C17orf61,,PFDN6,COL4A3,,PROP1,LSP1
CCDC15,AL359853.2,,ICAM5,WDR16,,CYP4F22,ZNF225,,NFKBIB,ACOX2
OR6C76,AP1S3,,P2RY14,SAFB2,,PDSS2,ZBTB6,,PRR16,KIR3DL1
ANKRD45,CCNB2,,UGGT2,LGALS7,,TRIM42,DDX50,,RAB9B,FABP12
PRND,DNAJC19,,SCGB2B2,ACTL6A,,GPR97,ITGB2,,KPNA3,MICAL1
CSTL1,OC90,,PDIK1L,AKAP8L,,MPP4,ARSJ,,FAM133A,PRTFDC1
SLC34A3,C7orf65,,AC007228.1,USP32,,ZNF268,IQCA1,,ABHD4,LRRC38
UBC,CTDSPL2,,MOSPD3,ABCF3,,SLC2A3,ADI1,,MPEG1,GALNT11
DYRK2,CYP4F3,,ZNF385B,ADAMTS20,,PDIK1L,RFNG,,FBXO10,INS
PSENEN,AGGF1,,KIAA1407,C12orf49,,KIF4B,ATP8A1,,NPFFR1,CAPN2
HSPA12B,PTX4,,COL5A1,SIPA1L2,,PPP1CB,TBRG4,,NUDT5,PRRC1
TECTA,CDR2L,,OR11H12,ATP7A,,TAS2R8,ERP44,,FBLN1,EFCAB4B
KLF17,SLC12A5,,TAS2R3,UTF1,,FNBP4,CHEK1,,MANSC1,TEX12
ZNF354A,C14orf119,,PROP1,FAM163A,,HPCAL1,CCDC42,,RAB28,GPSM3
PRICKLE4,BFSP2,,LAMP3,IGF2BP3,,TXNDC15,MOB2,,COL28A1,CWC27
UTP20,NR0B1,,HOXA1,PSMB7,,BYSL,C12orf75,,C9orf100,TAGAP
SCGB1A1,TTBK2,,AJUBA,MOGAT2,,SCGB1C1,FFAR1,,PDPR,ZNF781
CCNE2,AWAT1,,NXPH1,SNCAIP,,CERK,OOEP,,RP3-402G11.5,NOL3
CLEC4G,LPIN2,,CHCHD5,C1orf64,,NCK2,KERA,,LDHA,C20orf202
ORAI1,KLRB1,,ELOVL6,BBX,,FBXW10,ATP6V0C,,OR6P1,ZNF347
TRIP13,MPI,,C4orf17,RP11-178D12.1,,TYR,CHRNE,,TNFSF10,SNN
ACADS,KCNH4,,PLN,CNTN6,,MOCS2,TJP3,,ZNF844,SRF
PTCHD2,MRPL42,,CCDC164,RRP9,,ELOVL6,BZRAP1,,CCDC36,C5orf47
OR2H2,EPRS,,STK11IP,ADAM23,,MED15,RC3H1,,ZMIZ1,ZC2HC1B
RNF103,ACADM,,CTCF,NFATC1,,FOXO1,AOX1,,WDR96,PIGM
CLIP2,HAS3,,DSG3,ATOX1,,NINL,RHBDL3,,TXNDC15,ADCYAP1
UNCX,IL5,,SH2D4A,GAST,,NKX2-1,PDCD1LG2,,ZNF251,RBPJ
RASL12,ZAR1,,KIAA0226,AURKB,,NYX,BTBD9,,ZNF98,AASDHPPT
SCGB1C1,LIPT2,,UTP20,POU6F1,,DDOST,NCK1,,TRAF1,TTC7A
HTRA3,AMDHD1,,RNF165,PKDCC,,WNK3,OR4K14,,HGSNAT,ZNF75A
TYR,SERPINB10,,GAL3ST2,SDC4,,DSG3,KRT10,,SNX22,CDK17
ZNF704,XKR6,,SPTSSA,KPRP,,DEFB112,DOK4,,PLIN3,ALOX5
ZNF469,PRKRIR,,CCND2,FAIM,,TMLHE,ETF1,,AQP7,CBX7
OXGR1,TAF9B,,NCK2,CLGN,,SUCLA2,PIK3AP1,,MMD,TOR4A
ODF3,CABP2,,HACE1,TARDBP,,ITGA5,C10orf107,,SGMS2,ASCC2
LYG2,REXO4,,CCDC94,MRFAP1L1,,HOXA1,DGCR2,,NAA60,YES1
FBXO10,RHOF,,C16orf86,SRSF2,,CYP4X1,MTHFD1,,BCL11B,SMARCD1
OR4E2,KBTBD10,,MPO,OLFM3,,SKP1,SPINK4,,OR8B4,GFOD2
RASL10B,ESPNL,,KIAA1377,KIF26A,,IL17C,MAP6,,SPRY2,TMX4
RAD21L1,ZDBF2,,CLIP2,CXorf66,,FAM100B,FBXW4,,PARD6G,ANKRD55
FAM220A,TMEM144,,DBP,TTC33,,PLK2,SLIRP,,MED15,NDST3
AMIGO3,C7orf73,,PLIN3,INS,,HNF1A,ATCAY,,ZNF138,REG3G
OR14J1,SH3YL1,,HIST1H2BB,CEP57L1,,WFDC1,ZNF814,,GLI2,RBM28
BIN2,KIAA0141,,SH3D21,CFTR,,CCND3,NBEAL1,,SLC10A5,ZNF750
DCXR,SPTA1,,GPR17,PADI1,,ABCC2,TRPM1,,TESPA1,PLK4
KIAA1731,GNAI1,,DDX6,LAMC3,,ZNF700,H2AFY2,,ANKRD13A,IWS1
CADPS2,GPR112,,CTBP2,PRDX6,,RNF165,DNAH7,,SMAD1,GRIK4
C4orf26,BTBD2,,LRRC15,OR10T2,,RAP1GAP2,DPP4,,KIAA0226,TSPAN12
C1orf204,PRAMEF11,,RBBP8,SLC13A1,,TMOD3,BHMT,,PLD3,PALM
SHISA7,HRK,,COX4I2,TCHP,,C18orf8,ESCO1,,WNK3,TBX10
ZNF490,KIAA1432,,CST5,KCNS2,,MYL4,TLX2,,ACVR1,NARFL
SLC40A1,CST9L,,RPS18,C7orf65,,C1orf216,NECAB2,,RPA1,FST
MED28,RLTPR,,RPL39L,RP11-528L24.3,,CSRP2,C3orf15,,TMEM109,C16orf78
GDAP1L1,GLRX2,,PLK2,STAC2,,SNRNP27,RNASE13,,FAM194A,DGAT1
A1CF,C6orf228,,C1orf172,CFP,,IPPK,TNFRSF14,,CLC,SPI1
CKB,C14orf142,,ZNF530,CCDC88B,,EAF1,OR4C3,,KCNE3,FBXL19
MOK,ITGAL,,ZNF774,DNAJA3,,NICN1,CDC16,,RELL2,LGALS3BP
PTPRO,MYO3A,,NFKBIB,INPP5J,,C12orf56,TIMP2,,SYNGR4,PPP1R15B
ATP13A3,NEK5,,VAMP5,DNAJB12,,GDAP1L1,SESN1,,IL18RAP,RPL28
CRCT1,NDUFC2,,CXCL6,TRNT1,,OTOP2,NUDT8,,EFR3A,GIMAP8
XRCC4,ATP1B1,,GNG2,PCSK1,,SEC23A,PTK2B,,C9orf64,COX8C
BTN3A3,CHRNB2,,C20orf151,SPRTN,,FBXO2,SBF1,,USP49,SEPN1
OR2G6,SETD2,,PRSS8,TSNAX,,BRAP,C15orf57,,ERI3,NHLH1
DUPD1,LGALS7,,IFITM2,EPRS,,CHCHD1,ZNF174,,AMH,CEP41
NCK2,CUL7,,IGFBP4,LAT2,,GPR37,KRT77,,VAT1L,C9orf3
GPR37,ADAMTS20,,MYO18B,FGFRL1,,NIPA1,SLITRK6,,AHCYL1,KIF3B
DDB2,TLR2,,VIL1,C1orf150,,PGBD4,UCHL5,,RER1,ARPC1A
SERPING1,EHD3,,RNF150,FRMPD1,,ZDHHC22,TCERG1,,HDDC3,DDX5
ANKRD30B,SP5,,RPS3A,APCS,,HERC5,BRPF3,,LMO4,ZBTB2
ERP29,CRY1,,GINS4,ERCC3,,GINS1,SPATA21,,C20orf27,INTS5
ZSCAN1,EIF2B5,,PCDH10,INA,,HS3ST5,CSF1R,,GJB1,PLSCR2
OR11H12,SNX19,,OR10G4,ABHD14A,,SPTSSA,SGSM2,,BNIP2,SPECC1L
FUT2,CUX2,,MYRIP,ZIC5,,WARS,SNRNP48,,DCDC1,PAK7
EIF4EBP2,C3orf75,,MSH2,SNRNP25,,GEMIN5,MTNR1B,,SYCP1,SLC25A17
TRMT61A,CYP24A1,,HINT1,STS,,STAMBP,PET112,,SARDH,NDFIP2
06-Mar,RAB6B,,METTL21D,NOTCH1,,CD36,TMED7-TICAM2,,PLA2G3,GJB4
TMEM147,VIMP,,SKIV2L,OR4F5,,KLF5,LRRC2,,OR2T10,CEP89
PTPDC1,PSMD8,,PLG,MTA2,,COL8A2,IL1RL1,,ZC3HAV1,SLC38A7
GRK7,SLC35D3,,KIF1C,C15orf62,,TREML2,MIIP,,EPYC,NFATC4
OTOP2,SERTAD4,,HMGXB3,SCAI,,GDF10,TMEM156,,STAT5A,DENND4B
PLIN3,GAS2L2,,UNCX,FAM90A1,,NEIL2,AP3S2,,ZDHHC9,NMD3
FAM168B,CREB3,,RPL35A,ZNF223,,ZNF699,TRPC7,,PIAS1,MMP15
LZTR1,CTU2,,GNA15,NLGN4X,,PLEKHH1,PPM1A,,KIFC1,NOL8
HNF1A,MUS81,,DHX8,SUGP1,,GRIK1,UBE4A,,PMP22,SKAP2
QPRT,C12orf52,,SMARCD2,KCNV1,,HMGXB3,MICAL3,,C4orf26,TIMELESS
DIP2C,USP25,,ANKRD30B,UBL7,,MAPK15,SPATA13,,FBXL18,CD34
GPHA2,ALKBH6,,KLHDC10,DSCR3,,AP1S1,OGFRL1,,ADAMTS17,KARS
CYP4F22,PEF1,,ULBP1,ZNF768,,CACUL1,GABARAPL1,,OR4X1,ADRB1
SLC25A15,LRRC1,,C17orf108,ACRBP,,SLC1A3,PEX19,,IVL,TMPO
ANAPC4,CNTFR,,REPIN1,PIGV,,NXPE2,CCDC28B,,CXCR6,TNNI1
OR4X2,LRRC3C,,LYG2,INCENP,,COL28A1,ZBTB7A,,NGDN,KIAA1737
SLC23A1,BCL9L,,NOX3,GZMK,,AJUBA,EFS,,KIAA1383,RPN2
TOP2A,NUGGC,,C17orf66,EPG5,,RSF1,TAS1R2,,MTHFD2L,TIMM22
TFE3,GET4,,SLC35G2,FIZ1,,PLCD1,AP4E1,,ZBTB45,MPHOSPH6
VEGFC,CEP57L1,,SH3TC1,PHRF1,,NOS1AP,WDR26,,ARMCX5,KRT72
CCDC115,FAAH,,LMBRD1,TAAR2,,RASL12,UTS2,,PDCD4,NUDT22
UFD1L,CFTR,,SLC1A3,HMGB4,,MPHOSPH10,SPATA9,,B3GNT7,C14orf43
COX4I2,OIT3,,ZC3H12B,PCIF1,,CLN8,ERI1,,NGFR,CSRP2BP
ANO3,TRIM29,,BCL2L15,DDX39A,,TMEM86B,UBAP1,,PKIA,TBATA
SLC9A7,EPOR,,CEP192,C8orf73,,TFE3,ALG9,,TULP2,RAB2A
USP28,DCAF15,,PPM1J,RNF20,,LMO7,CT62,,TMEM241,JAKMIP1
XYLB,SLC14A1,,SAGE1,PIP4K2B,,ADCY3,PGAM2,,HTR5A,GCC2
RUSC2,MIF,,NPFFR1,CX3CL1,,NCOA2,KRTAP10-5,,BLCAP,ZFP36L2
NPFFR1,ADAT2,,SP1,RHBDD1,,NRTN,C16orf53,,SUOX,RNF157
OR6P1,NIPAL3,,CLEC4G,PODXL,,GREB1L,HOXC4,,MEIS1,EHF
PRG3,ST3GAL2,,IVL,SLC25A19,,CENPE,CSNK2B,,PEX1,RTN4R
DHX34,SIAH1,,DYRK2,MKRN2,,PRH2,C6orf226,,ZNF792,LAMA4
LRP1,HADHB,,TAOK1,DYNLT3,,ZNF251,MTHFR,,RPS6KA2,ADSS
C19orf59,WDR90,,DOK1,FAM110B,,GNB2,UMPS,,KHDRBS2,ITPRIPL2
HOXA1,CLEC4M,,BACH2,ZCRB1,,NDUFAF2,TEKT5,,PRSS54,THAP9
NGFR,C6orf52,,TRIM3,BET1,,OTOP1,THUMPD1,,STEAP1,UNC119
MPHOSPH10,TAF10,,HTRA3,PTK2B,,PLOD1,TNFSF11,,ZNF667,LTC4S
PLEKHB1,SYCP3,,NUDT5,DCLRE1B,,C5orf22,CASC4,,FAM179A,HHATL
MCHR1,DCUN1D5,,ADCY3,GALNT10,,PGAP1,YIPF4,,GAGE12H,MS4A4A
COL4A1,OR4D6,,REST,POLR2C,,ERCC6L2,C9orf62,,BLOC1S1,ATRIP
TREML4,FGFRL1,,SLC2A3,SLITRK4,,TRIM3,ACBD3,,ACSM1,ADPRHL2
KDM5A,MMP10,,HHIP,SMAD2,,PLEKHB1,CEBPE,,EIF1B,TACO1
MAF1,B3GALT4,,EPHB6,IRAK4,,ATF2,OLIG2,,SNURF,CRIPAK
AQP7,WNT4,,KLF17,GTSE1,,RAB28,SMARCD1,,FXYD5,HOXB9
AVPR1A,NFIX,,ARHGAP31,CALML3,,AZIN1,SIX5,,NEK1,RSAD2
CCDC94,TBKBP1,,BSN,ZNF827,,DOK1,CAPN2,,METTL21D,C18orf63
ILKAP,DNAH7,,ACOT6,DLL4,,ADAM18,BFSP1,,CCDC114,NUDT17
ZNF385B,PER1,,CHRNA10,SH3BGRL3,,CLRN3,MTF2,,HOXC10,PDILT
ODF3L2,COX8A,,FPR1,PSMD8,,FNDC3B,FAM78B,,NXPH2,AATF
CLK2,ERCC3,,NPHP3,COL4A3,,ZSWIM4,MTHFD2,,MCM7,C2orf51
RNF43,CHAD,,BIN2,MBOAT4,,SKIV2L,DAND5,,OR8D2,PYGO2
MRPL24,ZIC5,,LMTK2,SNX4,,ZNF530,OSTN,,CHD7,SLC6A19
WDFY1,MARK4,,TEX26,CLEC3B,,CRYGS,LBP,,ARF1,MEGF6
KDELC1,CYTH3,,ALCAM,DDX50,,PER2,ESYT3,,C2orf80,RHD
C9orf100,RNF151,,PTEN,LMNB2,,CCDC36,C5orf54,,ZYG11A,BOLA3
TLCD2,ANKLE2,,RIMKLA,ZBTB40,,EXOG,CYSLTR2,,ALOXE3,SF3B4
RUVBL1,ANO5,,HIVEP1,DOCK2,,OR2L13,MKRN1,,MRPS30,TREML1
TRPV1,SUGP1,,BYSL,KANK3,,SNX1,MCCC2,,AEBP1,FAM20C
COBRA1,GLT1D1,,MAPK15,CT62,,SOX18,KRTDAP,,SLC25A5,PYGL
OSBP,RFC3,,PLAC1L,C17orf102,,DNALI1,GABRA6,,THPO,CPEB2
PPAP2A,PLEKHA3,,FKBP3,ATP8A1,,SLC3A1,SACM1L,,LARGE,GARNL3
INPP5F,UBL7,,PPP1R3A,FAM209A,,ARID2,ESX1,,HERC5,GDF7
USP38,NRGN,,MRPS12,KLF3,,QRFP,PHF6,,POLR1C,KLRC4
CDH1,SOD1,,CCDC15,KCTD20,,CSDC2,TOP1,,PPAPDC3,SLC16A14
C1orf9,MTMR2,,TECTA,LGMN,,CCDC148,STX7,,RETNLB,SPINK8
UGGT2,FARSA,,PPIA,SPACA1,,GAGE12H,TM4SF4,,MYLK4,TEX9
C21orf58,CNIH,,MYH8,RILPL1,,SAMM50,KCNJ5,,SLC39A1,OR11L1
TBRG1,SYTL4,,ATP4B,PROSER1,,RNF103,ZNF41,,APPBP2,RXFP2
NKX2-1,SLC9A9,,TMEM99,RNF26,,SULT2A1,TBK1,,IMPG1,GAB4
SLC7A11,C19orf73,,RASAL2,POU3F2,,ZBTB20,TMEM221,,CALHM2,ATG4C
SNRNP27,TUBGCP3,,APPBP2,KLK1,,SARDH,CACNG2,,NTRK1,EHD1
SFT2D2,IQCK,,ZNF90,SLC7A13,,TMEM203,RPL10,,ELOVL3,SLC5A2
GDPD3,SCNN1G,,RPL23,ANP32B,,TYMP,EIF2S3,,ATP6V1G3,GBP1
ARHGAP35,OR1L8,,RINT1,C16orf78,,SLC25A5,LRCH2,,PLEKHB1,BRI3BP
CST5,PTK2B,,PGAP1,COL23A1,,OR1A2,PTCHD3,,PRAMEF1,MAML2
WFDC1,CAPS,,PLEKHH1,DOK4,,OR56A1,FST,,CLEC14A,TPSG1
COLEC12,NEMF,,GEMIN5,AGTR1,,COMMD9,SOCS7,,BBIP1,POLD1
NDUFA4L2,IL21,,C2orf40,FFAR2,,SCCPDH,ADAM2,,DENND2C,COL11A1
ZC3H13,KLF7,,PMP22,ASPHD2,,PFN3,GNL3L,,UBE2E3,GLYATL2
CLMN,CHRM4,,POLDIP3,SRRM2,,ARL13A,CST8,,DCD,EMC8
OCA2,IFNA14,,C21orf2,ARSK,,LNPEP,DIEXF,,OR5A2,TRAPPC12
DOK1,PEG10,,USP34,LSMÊ3.00,,TMEM192,PIR,,ARMC5,HIC1
HLA-C,SRD5A3,,ZNF98,FUT6,,C8orf42,POLR2B,,ERP29,PPAT
VPS36,MNF1,,C20orf201,EPHX3,,DPEP2,OR4A47,,DMTF1,SLC10A6
RNF121,CDK5R2,,LCN15,NDNL2,,GPR17,PNP,,RIMS4,FAM160B2
ACTC1,PRR22,,MRPS30,RBMXL3,,REEP3,ZFP36L2,,ARGLU1,EMC1
PLEKHH1,FAM83F,,NRTN,NXT1,,CD9,MDN1,,SLC25A31,RTN4IP1
RASAL2,MBOAT4,,QPRT,YWHAQ,,C20orf27,FERMT1,,ADRA2B,PCED1A
RRN3,FAXC,,C1orf135,ZNF18,,OPALIN,LDLRAP1,,ILF2,RIC8A
C1orf56,CLEC3B,,RIPK4,CHAD,,BCL11B,FAM177A1,,NEIL2,HMGCL
AHCYL1,TIMP4,,RNF7,ZNF461,,OCA2,HTR1B,,REST,TMEM11
CRTC2,LMNB2,,FNDC3B,TMOD2,,PIM1,MEF2D,,ANAPC2,SLFN5
ELOVL6,GADD45GIP1,,NBN,DCC,,AQP7,ASH1L,,CA7,COMMD7
CACTIN,JAZF1,,ANAPC4,METRN,,PPIA,CDC42BPG,,VTCN1,IL16
KPNA1,CLPSL2,,ZNF268,SNX27,,DNAJB6,VMP1,,TMEM223,CNTN1
ZNF620,TMEM5,,OR2AG2,RPP25L,,HSD17B4,ZBTB7C,,SERP2,FAM186A
FAM117B,RNASE4,,KIF18A,C16orf73,,GSTA4,STAB2,,KRT85,TBC1D25
SNRNP70,UQCRB,,GPR37,VASH1,,RIPK4,ENKUR,,ZNF680,SLC11A1
RAB28,ALG6,,TEKT1,CC2D1A,,CA7,CCR1,,ATF7,ATF6B
HOXB4,HIST1H1C,,SPRED2,TPRA1,,GNPAT,PLIN1,,GPR139,PENK
NR2E1,FFAR1,,PRH2,HIST1H1D,,ATP6V1G3,FUT1,,SPRY1,SERPIND1
HPS5,RILPL1,,SRMS,AEN,,AKR1B10,MYOZ3,,NAA16,FGL1
ZNF844,OR2D2,,CPA3,TTLL3,,ZC3HAV1,MTMR4,,XXYLT1,OR13F1
ITPKB,OR2AE1,,GPC4,B3GALTL,,SLC16A3,CELA2A,,PTGDR2,MAP3K5
L2HGDH,OR5M3,,CD5L,CCDC105,,CCRL1,FAR2,,ELOVL2,CSF3R
MOCS2,TUBGCP6,,ATF2,CT45A5,,CRISPLD1,PRKCI,,CYP21A2,TAS2R13
IPO7,URB2,,KPTN,PAGE2B,,SLC23A1,KDM5C,,GFPT1,TUBA3D
GRIK1,GALNT7,,GLI2,ADHFE1,,GAL3ST3,SOGA1,,SIDT1,BABAM1
HARBI1,KRTAP12-3,,TMEM242,FAM78A,,SSR3,FNIP1,,SLC7A4,ZNF43
SYT4,DSCAM,,AVPR1A,FAM24B,,OR2T27,MPST,,FAT2,EEPD1
CBX1,OR8J1,,ADAMTSL1,ARGFX,,KXD1,PARP10,,CBFA2T2,ADORA3
TMIGD1,ZNF600,,C17orf74,RPL36AL,,C16orf58,SYT11,,PLGRKT,MXD3
ZNF23,LSM3,,TPRG1L,AIRE,,NDUFC1,LRRK2,,AKNAD1,TMEM68
PDE12,FUT6,,IL18RAP,APC,,ALDH1B1,EIF3H,,STAG1,HEXB
SPC25,LYL1,,RXFP4,CSF1R,,OR8B4,LIPN,,MRAP,TWISTNB
RUNDC3B,NDNL2,,CERK,DSEL,,FUT10,ACOX2,,EXOSC3,WDR61
CERK,MYO1D,,NUDT12,PPP1R14C,,SLC17A9,TNP2,,CD200R1L,TAS2R7
KPNA3,TOR1AIP1,,RAPGEFL1,CNN3,,CLPS,ARHGEF2,,ZNF383,PRSS12
CLN8,ZNF814,,TANK,POLR3F,,ATF7,HS3ST3A1,,TSPAN9,C16orf48
TEX30,PSMD11,,FOXO1,FAM211B,,ZWILCH,KIAA0408,,MS4A7,JAK2
RPS6KA4,C17orf109,,BTN3A3,PRRG2,,BTG1,CCIN,,FASTK,PLEKHO2
INTS8,BOLL,,LY96,C17orf96,,NACC2,VWC2L,,C1orf122,SRPK3
